latent_dimension,standardized_coefficient_years_per_sd,absolute_standardized_coefficient,original_scale_coefficient,absolute_rank
1427,-0.4108066,0.4108066,-18.497590119930212,759
319,-0.41045356,0.41045356,-16.086157067863123,760
1479,-0.4099739,0.4099739,-23.676908181979208,761
1474,-0.40888903,0.40888903,-21.051250237833084,762
710,-0.40836272,0.40836272,-17.205138050711387,763
1139,-0.4076136,0.4076136,-22.657325427242192,764
635,0.4069766,0.4069766,16.360736321793883,765
1361,-0.4068732,0.4068732,-20.103998772452073,766
1191,0.4065451,0.4065451,16.483680364564126,767
715,-0.40592736,0.40592736,-17.282812828934198,768
49,-0.4056242,0.4056242,-16.48732282805488,769
422,-0.4050882,0.4050882,-16.270734803320707,770
103,0.40337318,0.40337318,17.827919212582977,771
1044,-0.4026103,0.4026103,-17.777807974062,772
954,0.40214252,0.40214252,16.59287648226317,773
71,-0.40164253,0.40164253,-16.669822422497223,774
23,0.40159976,0.40159976,16.45716238061297,775
658,0.3999399,0.3999399,15.847456906930557,776
342,-0.39912567,0.39912567,-15.320342376834615,777
480,0.3987471,0.3987471,17.2111822553248,778
493,0.39678955,0.39678955,16.420364117441864,779
1275,-0.39605588,0.39605588,-22.14290867304557,780
1252,0.39349222,0.39349222,24.724901891792914,781
1521,0.39257142,0.39257142,22.741676037633606,782
1235,0.39195657,0.39195657,22.692490007459888,783
72,0.39108405,0.39108405,15.683355375386942,784
1339,-0.39075965,0.39075965,-20.492376910075492,785
33,0.3903841,0.3903841,16.233082487666586,786
376,0.39035353,0.39035353,16.143308535054683,787
870,0.3899995,0.3899995,17.18984595267549,788
1288,-0.38919997,0.38919997,-18.77778589426349,789
404,0.38840723,0.38840723,15.869099831955467,790
1285,-0.38838774,0.38838774,-16.77686991766124,791
1529,-0.38781893,0.38781893,-18.324435506342763,792
1432,0.38684258,0.38684258,19.12926397596746,793
536,-0.38558462,0.38558462,-16.735056950832245,794
1014,0.38531303,0.38531303,15.36375215110695,795
349,0.38497406,0.38497406,16.887316021116668,796
862,-0.38449913,0.38449913,-15.795652661854525,797
901,0.38445792,0.38445792,16.73425681781846,798
1095,-0.38419652,0.38419652,-17.308732102592696,799
1086,0.38347268,0.38347268,21.701598001341367,800
946,-0.3829953,0.3829953,-16.461034780672403,801
482,0.38270983,0.38270983,15.48237824741881,802
1398,-0.38263068,0.38263068,-20.183610160733412,803
734,-0.38192445,0.38192445,-16.072667726622544,804
159,0.38169518,0.38169518,17.14630902562395,805
1453,-0.3804972,0.3804972,-16.199701775542362,806
1500,-0.37890872,0.37890872,-17.634948984084122,807
949,0.37888688,0.37888688,15.49471061962055,808
851,0.3779781,0.3779781,15.285845403187974,809
1123,-0.37741497,0.37741497,-18.25632373632899,810
1278,-0.3772758,0.3772758,-17.885358145485558,811
1343,0.37659416,0.37659416,18.391473527970998,812
1526,-0.37655964,0.37655964,-21.47227314418543,813
235,0.37468308,0.37468308,15.335024228036202,814
1493,-0.37439096,0.37439096,-17.419247094517555,815
1487,-0.37437323,0.37437323,-23.385441037844114,816
